team_name,tournament,fifa_rank,tournament_result
Russia,2018,65,Quarter-Final
Germany,2018,1,Group Stage
Brazil,2018,2,Quarter-Final
Portugal,2018,3,Round of 16
Argentina,2018,4,Round of 16
Belgium,2018,5,Third Place
Poland,2018,6,Group Stage
France,2018,7,Winner
Spain,2018,8,Round of 16
Peru,2018,10,Group Stage
Switzerland,2018,11,Round of 16
England,2018,12,Fourth Place
Colombia,2018,13,Round of 16
Mexico,2018,16,Round of 16
Uruguay,2018,17,Quarter-Final
Croatia,2018,18,Runner-Up
Denmark,2018,19,Round of 16
Iceland,2018,21,Group Stage
Costa Rica,2018,22,Group Stage
Sweden,2018,25,Quarter-Final
Tunisia,2018,28,Group Stage
Egypt,2018,30,Group Stage
Senegal,2018,32,Group Stage
Iran,2018,34,Group Stage
Serbia,2018,38,Group Stage
Nigeria,2018,41,Group Stage
Australia,2018,43,Group Stage
Japan,2018,44,Round of 16
Morocco,2018,48,Group Stage
Panama,2018,49,Group Stage
South Korea,2018,62,Group Stage
Saudi Arabia,2018,63,Group Stage
Brazil,2022,1,Quarter-Final
Belgium,2022,2,Group Stage
Argentina,2022,3,Winner
France,2022,4,Runner-Up
England,2022,5,Quarter-Final
Spain,2022,7,Round of 16
Netherlands,2022,8,Quarter-Final
Portugal,2022,9,Quarter-Final
Denmark,2022,10,Group Stage
Germany,2022,11,Group Stage
Croatia,2022,12,Third Place
Mexico,2022,13,Group Stage
Uruguay,2022,14,Group Stage
Switzerland,2022,15,Round of 16
United States,2022,16,Round of 16
Senegal,2022,18,Round of 16
Wales,2022,19,Group Stage
Iran,2022,20,Group Stage
Serbia,2022,21,Group Stage
Morocco,2022,22,Fourth Place
Japan,2022,24,Round of 16
Poland,2022,26,Round of 16
South Korea,2022,28,Round of 16
Tunisia,2022,30,Group Stage
Costa Rica,2022,31,Group Stage
Australia,2022,38,Round of 16
Canada,2022,41,Group Stage
Cameroon,2022,43,Group Stage
Ecuador,2022,44,Group Stage
Qatar,2022,50,Group Stage
Saudi Arabia,2022,51,Group Stage
Ghana,2022,61,Group Stage
